橋梁名稱,英譯橋名,管理機關,道路等級,橋梁總長
北興陸橋,Beixing Bridge,嘉義市政府,市區道路,387.5
台林橋,Tailin Bridge,嘉義市政府,市區道路,230
永欽一號橋,Yongqin No.1 Bridge,嘉義市政府,市區道路,386.5
行嘉吊橋,Xingjia Skywalk,嘉義市政府,其他,283
忠義橋,Zhongyi Bridge,嘉義市政府,市區道路,180
垂楊大橋,Chuiyang Bridge,嘉義市政府,市區道路,660
華興橋,Huaxing Bridge,嘉義市政府,市區道路,290
嘉雄陸橋,Jiaxiong Bridge,嘉義市政府,市區道路,406.85
盧厝大橋,Lucuo Bridge,嘉義市政府,市區道路,350
彌陀映月橋,Mituo Yingyue Bridge,嘉義市政府,其他,219
盧山橋,Lushan Bridge,嘉義市政府,市區道路,150
三號橋(香湖公園),Xianghu Park No.3 Bridge,嘉義市政府,市區道路,31.7
太平橋,Taiping Bridge,嘉義市政府,市區道路,27.29
文化路人行地下道,Wenhua Rd Underpass,嘉義市政府,其他,34
世賢路一段地下道,"Shixian Rd, Sec. 1 Underpass",嘉義市政府,市區道路,37.8
世賢路三段地下道,"Shixian Rd, Sec. 3 Underpass",嘉義市政府,市區道路,53.1
北興路人行地下道,Beisin Rd Underpass,嘉義市政府,其他,36.7
平等街人行地下道,Pingdeng St Underpass,嘉義市政府,其他,63.82
行尊橋,Xingzun Bridge,嘉義市政府,市區道路,26
莊敬橋,Zhuangjing Bridge,嘉義市政府,市區道路,41.3
都會森林公園-人行步橋,Metropolitan Forest Park Pedestrian bridge,嘉義市政府,其他,28
博愛陸橋北側人行天橋,Boai Pedestrian bridge,嘉義市政府,其他,34.2
無名橋34,Nameless No.34 Bridge,嘉義市政府,市區道路,27
無名橋60,Nameless No.60 Bridge,嘉義市政府,市區道路,25.6
無名橋61,Nameless No.61 Bridge,嘉義市政府,市區道路,25.2
無名橋62,Nameless No.62 Bridge,嘉義市政府,市區道路,25.7
無名橋65,Nameless No.65 Bridge,嘉義市政府,市區道路,27.7
嘉雄陸橋人行地下道,Jiaxiong Underpass,嘉義市政府,其他,61.56
觀光橋,Guanguang Bridge,嘉義市政府,市區道路,42
林森國小人行陸橋,Linsen Pedestrian bridge,嘉義市政府,其他,60
崇文國小人行陸橋,Chongwen Pedestrian bridge,嘉義市政府,其他,85
三信人行陸橋,Sanxin Pedestrian bridge,嘉義市政府,其他,100
南興國中人行陸橋,Nanxing Pedestrian bridge,嘉義市政府,其他,80
嘉義火車站橫跨前後站人行鐵橋,Chiayi Railway Station Pedestrian bridge,嘉義市政府,其他,100
興業西路人行地下道,Xingye W. Rd Underpass,嘉義市政府,其他,50
二號橋(香湖公園),Xianghu Park No.2 Bridge,嘉義市政府,其他,23.4
大同橋,Datong Bridge,嘉義市政府,市區道路,12.4
中興橋,Zhongxing Bridge,嘉義市政府,市區道路,23
友忠橋,Youzhong Bridge,嘉義市政府,市區道路,22
文化路地下道,Wenhua Rd Underpass,嘉義市政府,市區道路,12.4
日の丸橋,Riwan Bridge,嘉義市政府,其他,7.1
水源橋,Shuiyuan Bridge,嘉義市政府,市區道路,11
北香湖及C支線木橋(香湖公園),Xianghu Park Wood Bridge,嘉義市政府,其他,3.5
北興陸橋地下道,Beixing Underpass,嘉義市政府,市區道路,15
民生道將橋,Minsheng Daojiang Bridge,嘉義市政府,其他,9
玄明橋,Xuanming Bridge,嘉義市政府,市區道路,12
玉山一號橋,Yushan No.1 Bridge,嘉義市政府,市區道路,6
安和橋,Anhe Bridge,嘉義市政府,市區道路,12.5
江西橋,Jiangxi Bridge,嘉義市政府,市區道路,4
自強橋,Ziqiang Bridge,嘉義市政府,市區道路,7
行心橋,Xingxin Bridge,嘉義市政府,市區道路,9.9
行虎橋,Xinghu Bridge,嘉義市政府,市區道路,20
行冠橋,Xingguan Bridge,嘉義市政府,市區道路,16
佛渡橋,Fodu Bridge,嘉義市政府,市區道路,4.3
和睦橋,Hemu Bridge,嘉義市政府,市區道路,9
林森橋,Linsen Bridge,嘉義市政府,市區道路,12
泛月橋,Fanyue Bridge,嘉義市政府,市區道路,20.3
泛月人行橋,Fanyue Pedestrian bridge,嘉義市政府,市區道路,20.3
迎曦橋,Yingxi Bridge,嘉義市政府,市區道路,12
金龍橋,Jinlong Bridge,嘉義市政府,市區道路,12
信興橋,Xinxing Bridge,嘉義市政府,市區道路,7
後庄橋,Houzhuang Bridge,嘉義市政府,市區道路,5
後庄橋,Houzhuang Bridge,嘉義市政府,市區道路,5
神州橋(嘉義公園內),Shenzhou (Chiayi Park) Bridge,嘉義市政府,其他,10
通港橋,Tonggang Bridge,嘉義市政府,市區道路,17
頂角橋,Dingjiao Bridge,嘉義市政府,市區道路,6
鹿寮橋,Luliao Bridge,嘉義市政府,市區道路,12
博愛陸橋西側引道橋,Boai West Bridge,嘉義市政府,省道,15.7
博愛橋-1,Boai-1 Bridge,嘉義市政府,市區道路,11
博愛橋-2,Boai-2 Bridge,嘉義市政府,市區道路,11
善血橋,Shanxie Bridge,嘉義市政府,市區道路,12.4
善行橋,Shanxing Bridge,嘉義市政府,市區道路,7
善妙橋,Shanmiao Bridge,嘉義市政府,市區道路,11
善通橋,Shantong Bridge,嘉義市政府,市區道路,20.4
善園橋(嘉義公園內),Shanyuan (Chiayi Park) Bridge,嘉義市政府,其他,13
善慈橋,Shanci Bridge,嘉義市政府,市區道路,10.3
善德橋,Shande Bridge,嘉義市政府,農路,15.7
善寶橋,Shanbao Bridge,嘉義市政府,農路,6
無名橋02(台斗坑橋),Taidou Keng Bridge,嘉義市政府,市區道路,12.6
無名橋04,Nameless No.04 Bridge,嘉義市政府,市區道路,5
無名橋05,Nameless No.05 Bridge,嘉義市政府,市區道路,13
無名橋06,Nameless No.06 Bridge,嘉義市政府,市區道路,6.2
無名橋07,Nameless No.07 Bridge,嘉義市政府,市區道路,4.8
無名橋08(新),Nameless No.08 Bridge,嘉義市政府,農路,2
無名橋09,Nameless No.09 Bridge,嘉義市政府,市區道路,14
無名橋10,Nameless No.10 Bridge,嘉義市政府,市區道路,8.8
無名橋11,Nameless No.11 Bridge,嘉義市政府,市區道路,15
無名橋12(聖安橋),Shengan Bridge,嘉義市政府,市區道路,10
無名橋14,Nameless No.14 Bridge,嘉義市政府,私人道路,7
無名橋15(北社尾南橋),Beishe Weinan Bridge,嘉義市政府,市區道路,8.5
無名橋16,Nameless No.16 Bridge,嘉義市政府,市區道路,20
無名橋17(下埤橋),Xiapi Bridge,嘉義市政府,市區道路,25
無名橋18,Nameless No.18 Bridge,嘉義市政府,市區道路,6
無名橋19(番溝橋),Fangou Bridge,嘉義市政府,市區道路,17
無名橋20,Nameless No.20 Bridge,嘉義市政府,市區道路,8.5
無名橋24,Nameless No.24 Bridge,嘉義市政府,市區道路,6.3
無名橋29,Nameless No.29 Bridge,嘉義市政府,市區道路,6.9
無名橋30,Nameless No.30 Bridge,嘉義市政府,市區道路,6.9
無名橋30,Nameless No.30 Bridge,嘉義市政府,市區道路,6.9
無名橋32,Nameless No.32 Bridge,嘉義市政府,市區道路,20
無名橋33,Nameless No.33 Bridge,嘉義市政府,市區道路,11
無名橋35,Nameless No.35 Bridge,嘉義市政府,市區道路,23
無名橋36,Nameless No.36 Bridge,嘉義市政府,市區道路,7
無名橋37(南嶽橋),Nanyue Bridge,嘉義市政府,市區道路,8.5
無名橋38,Nameless No.38 Bridge,嘉義市政府,市區道路,10
無名橋39,Nameless No.39 Bridge,嘉義市政府,市區道路,11.3
無名橋40,Nameless No.40 Bridge,嘉義市政府,市區道路,11
無名橋41,Nameless No.41 Bridge,嘉義市政府,市區道路,11
無名橋42,Nameless No.42 Bridge,嘉義市政府,市區道路,11
無名橋43,Nameless No.43 Bridge,嘉義市政府,市區道路,10
無名橋44,Nameless No.44 Bridge,嘉義市政府,市區道路,10
無名橋47,Nameless No.47 Bridge,嘉義市政府,市區道路,9
無名橋50,Nameless No.50 Bridge,嘉義市政府,市區道路,11
無名橋55(東區),Nameless No.55 (East Dist) Bridge,嘉義市政府,市區道路,12
無名橋57(西區),Nameless No.57 (West Dist) Bridge,嘉義市政府,市區道路,6
無名橋57(東區),Nameless No.57 (East Dist) Bridge,嘉義市政府,市區道路,6
無名橋58,Nameless No.58 Bridge,嘉義市政府,市區道路,6.2
無名橋59,Nameless No.59 Bridge,嘉義市政府,市區道路,6.9
無名橋63,Nameless No.63 Bridge,嘉義市政府,農路,9.4
無名橋64,Nameless No.64 Bridge,嘉義市政府,村里道路,11.3
無名橋66,Nameless No.66 Bridge,嘉義市政府,市區道路,20.6
無名橋67,Nameless No.67 Bridge,嘉義市政府,市區道路,25
無名橋68,Nameless No.68 Bridge,嘉義市政府,市區道路,23.1
無名橋69(西區),Nameless No.69 (West Dist) Bridge,嘉義市政府,農路,2.8
無名橋69(東區),Nameless No.69 (East Dist) Bridge,嘉義市政府,市區道路,10
無名橋70(西區),Nameless No.70 (West Dist) Bridge,嘉義市政府,農路,4.5
無名橋70(東區),Nameless No.70 (East Dist) Bridge,嘉義市政府,市區道路,6.2
無名橋71(西區),Nameless No.71 (West Dist) Bridge,嘉義市政府,市區道路,4
無名橋71(東區),Nameless No.71 (East Dist) Bridge,嘉義市政府,市區道路,6.2
無名橋72(東區),Nameless No.72 (East Dist) Bridge,嘉義市政府,市區道路,8.1
無名橋72(西區),Nameless No.72 (West Dist) Bridge,嘉義市政府,市區道路,23
無名橋73,Nameless No.73 Bridge,嘉義市政府,市區道路,8
無名橋74,Nameless No.74 Bridge,嘉義市政府,市區道路,7.5
無名橋74(香湖公園),Nameless No.74 (Xianghu Park) Bridge,嘉義市政府,其他,23.4
無名橋75(香湖公園),Nameless No.75 (Xianghu Park) Bridge,嘉義市政府,其他,5.1
無名橋76,Nameless No.76 Bridge,嘉義市政府,市區道路,7.5
無名橋77,Nameless No.77 Bridge,嘉義市政府,私人道路,6.4
無名橋78,Nameless No.78 Bridge,嘉義市政府,農路,8.3
無名橋79,Nameless No.79 Bridge,嘉義市政府,市區道路,7.8
無名橋81,Nameless No.81 Bridge,嘉義市政府,農路,7.3
無名橋82,Nameless No.82 Bridge,嘉義市政府,農路,13.6
無名橋83(嘉義公園內),Nameless No.83 (Chiayi Park) Bridge,嘉義市政府,其他,6.6
無名橋84(嘉義公園內),Nameless No.84 (Chiayi Park) Bridge,嘉義市政府,其他,8
無名橋85(嘉義公園內),Nameless No.85 (Chiayi Park) Bridge,嘉義市政府,其他,7
無名橋86(嘉義公園內),Nameless No.86 (Chiayi Park) Bridge,嘉義市政府,其他,8.5
無名橋88,Nameless No.88 Bridge,嘉義市政府,市區道路,8.7
無名橋89,Nameless No.89 Bridge,嘉義市政府,市區道路,15.3
無名橋N1,Nameless No.1 Bridge,嘉義市政府,市區道路,3
無名橋N10,Nameless No.10 Bridge,嘉義市政府,私人道路,6.4
無名橋N11,Nameless No.11 Bridge,嘉義市政府,市區道路,3.7
無名橋N12,Nameless No.12 Bridge,嘉義市政府,市區道路,10.59
無名橋N14,Nameless No.14 Bridge,嘉義市政府,市區道路,13.2
無名橋N2,Nameless No.2 Bridge,嘉義市政府,市區道路,3
無名橋N4,Nameless No.4 Bridge,嘉義市政府,市區道路,8.5
無名橋N5,Nameless No.5 Bridge,嘉義市政府,市區道路,4.6
無名橋N6,Nameless No.6 Bridge,嘉義市政府,市區道路,5
無名橋N7,Nameless No.7 Bridge,嘉義市政府,市區道路,5
無名橋N8,Nameless No.8 Bridge,嘉義市政府,市區道路,11.7
番子溝橋,Fanzi Gou Bridge,嘉義市政府,省道,19
新生橋,Xinsheng Bridge,嘉義市政府,市區道路,7.4
義士橋,Yishi Bridge,嘉義市政府,市區道路,7.3
道爺圳橋,Daoye Zun Bridge,嘉義市政府,市區道路,9
道爺圳糯米橋(芳草橋),Daoye Zunnuomi Bridge,嘉義市政府,市區道路,6
道爺橋,Daoye Bridge,嘉義市政府,市區道路,6
嘉溪橋,Jiaxi Bridge,嘉義市政府,市區道路,17
樂利橋,Leli Bridge,嘉義市政府,市區道路,10.6
學府橋,Xuefu Bridge,嘉義市政府,市區道路,13.7
盧厝1號橋,Lucuo No.1 Bridge,嘉義市政府,市區道路,8.3
興業西路地下道,Singye W. Rd Underpass,嘉義市政府,市區道路,21.4
興嘉拱橋,Xingjia Bridge,嘉義市政府,其他,16
興龍橋,Xinglong Bridge,嘉義市政府,市區道路,13
檜橋,Kuai Bridge,嘉義市政府,省道,18