time,magnitude,longitude,Latitude,depth,rainfall
2018-02-08 08:54:17,4.9,121.6200,23.9400,8.00,5.5
2018-02-07 23:21:30,6.1,121.7900,24.0700,12.00,1.0
2018-02-07 22:19:20,4.6,121.7800,23.9200,10.00,17.0
2018-02-07 21:06:40,4.8,121.7800,24.0700,11.00,1.0
2018-02-07 19:13:05,5.0,121.7900,23.9800,13.00,17.0
2018-02-07 11:36:18,4.8,121.7400,24.0500,11.00,2.0
2018-02-07 10:18:04,4.8,121.7100,24.0700,8.00,2.0
2018-02-07 07:43:53,4.6,121.6200,24.0300,7.00,2.0
2018-02-07 07:11:43,4.5,121.6800,24.0400,6.00,2.0
2018-02-07 04:56:23,4.6,121.6800,24.0700,6.00,2.0
2018-02-07 03:36:37,4.1,121.7100,23.9800,9.00,17.0
2018-02-07 03:15:30,5.9,121.6900,24.0200,10.00,2.0
2018-02-07 02:07:40,5.2,121.6800,24.0500,10.00,2.0
2018-02-07 02:00:13,5.2,121.7400,24.1000,10.00,1.0
2018-02-07 00:17:58,4.4,121.5900,24.0100,8.00,2.0
2018-02-06 23:50:42,6.5,121.7100,24.1300,11.00,0.5
2018-02-06 16:36:50,4.6,121.7200,24.1500,10.00,0.0
2018-02-06 13:09:14,4.8,121.7500,24.1600,7.00,0.0
2018-02-05 23:58:42,4.8,121.7000,24.0800,7.00,6.0
2018-02-04 22:13:12,5.5,121.7500,24.1600,10.00,5.5
2018-02-04 22:10:52,4.1,121.7700,24.2200,7.00,1.5
2018-02-04 21:56:41,6.4,121.7200,24.2000,10.00,5.5
2018-02-04 21:12:50,4.7,121.9000,24.1500,7.00,1.0
2018-01-27 00:31:30,3.9,120.9800,22.9600,8.00,3.0
2017-12-13 07:17:38,4.1,122.4000,24.0400,18.00,99.0
2017-11-24 04:55:32,4.2,120.6900,23.6000,22.00,0.5
2017-11-22 22:20:10,5.2,120.6000,23.7100,16.00,0.0
2017-11-12 06:54:20,3.6,122.0800,24.6800,55.00,0.0
2017-11-11 20:22:53,5.0,120.6900,23.6800,20.00,9.5
2017-11-11 19:14:40,4.1,120.6200,23.7100,10.00,4.5
2017-11-04 07:34:47,4.7,121.5900,23.6200,13.00,2.5
2017-11-03 10:49:00,4.9,120.9800,23.0100,6.00,0.0
2017-10-30 07:15:44,4.7,122.1600,24.1300,29.00,0.0
2017-10-09 07:29:52,4.0,121.3400,22.4900,7.00,24.5
2017-09-24 13:49:45,4.0,122.3200,24.0100,19.00,0.0
2017-09-20 22:29:55,5.5,121.8500,23.3500,15.00,3.5
2017-09-18 06:39:52,3.8,121.7100,23.5200,21.00,0.0
2017-09-11 10:25:40,3.4,122.0900,24.7700,87.00,0.0
2017-08-13 08:08:34,3.8,121.1000,22.1300,60.00,0.0
2017-08-11 09:58:54,4.3,121.4100,23.1900,21.00,0.0
2017-07-12 07:07:35,2.9,122.4600,24.4700,50.00,0.0
2017-06-21 15:25:38,3.9,121.8400,24.7200,11.00,0.0
2017-05-25 13:48:12,4.3,120.5000,23.4500,15.00,1.0
2017-05-24 21:10:54,4.7,120.4900,23.4400,16.00,1.0
2017-05-24 17:49:04,4.1,120.4900,23.4400,17.00,1.0
2017-05-16 07:12:53,5.6,121.4900,23.3100,10.00,17.5
2017-05-05 13:07:29,4.0,121.6500,23.3800,34.00,15.5
2017-04-21 00:20:12,4.0,121.0000,22.9300,6.00,0.0
2017-03-30 00:34:02,4.0,121.0300,22.4900,10.00,0.0
2017-03-08 06:10:51,4.1,122.1700,24.3200,38.00,0.0
2017-02-18 20:27:39,3.6,121.2400,22.5600,8.00,1.0
2017-02-14 14:54:34,3.2,121.6800,22.5700,10.00,2.0
2017-02-11 01:12:51,5.6,120.2000,22.8500,20.00,0.0
2017-01-25 15:33:05,3.6,121.9500,24.1600,45.00,0.0
2017-01-04 15:07:22,3.7,121.8500,24.1200,47.00,0.0
2016-12-30 08:30:53,4.2,121.9100,24.9300,70.00,0.0
2016-12-15 22:14:30,5.1,121.2600,22.8600,5.00,0.0
2016-12-09 12:09:46,4.3,121.9900,24.7900,20.00,0.0
2016-11-30 20:04:33,5.0,121.3900,22.7800,11.00,5.5
2016-11-29 07:59:39,3.4,121.1800,22.3400,8.00,0.0
2016-11-25 05:55:54,5.2,122.3800,24.1400,19.00,0.0
2016-11-12 06:25:31,4.7,122.4300,24.1100,21.00,0.0
2016-11-07 19:56:26,4.5,121.3900,23.0100,18.00,0.0
2016-10-25 12:45:51,4.8,121.3600,22.7100,10.00,26.5
2016-10-06 23:51:59,5.9,121.3800,22.6000,20.00,47.5
2016-09-01 00:28:53,4.4,122.2000,24.4700,20.00,0.0
2016-07-27 12:02:37,4.4,121.7200,24.3200,5.00,0.0
2016-07-14 11:32:23,4.0,121.4200,23.1200,17.80,0.0
2016-07-01 16:23:42,4.4,122.3200,24.0500,18.90,0.0
2016-06-20 15:53:32,3.4,121.7500,24.9500,85.00,0.0
2016-06-20 08:39:47,4.3,121.5700,23.2000,26.40,0.0
2016-05-30 10:52:46,4.1,121.8200,24.1700,4.10,7.5
2016-05-22 10:06:17,4.2,120.6300,22.8800,5.00,20.5
2016-05-22 04:51:41,4.4,120.6200,22.8900,26.80,20.5
2016-05-21 13:47:47,4.0,121.8100,24.1900,12.10,2.5
2016-05-18 08:22:44,4.1,121.6400,23.2300,23.10,0.0
2016-05-14 11:32:49,4.7,121.7100,24.2300,10.00,16.0
2016-05-14 11:12:03,4.6,121.8500,24.1900,19.00,17.5
2016-05-13 16:24:12,5.0,121.9800,24.7800,5.90,0.5
2016-05-12 12:29:56,5.8,122.0200,24.7700,15.00,0.0
2016-05-12 11:17:13,6.2,122.0000,24.7100,15.00,0.0
2016-05-09 02:50:02,4.0,121.7700,24.2200,6.30,2.5
2016-05-08 10:46:31,4.6,121.0000,24.0400,5.90,0.0
2016-05-07 22:51:08,4.3,121.8600,24.1800,10.30,0.0
2016-05-06 15:53:23,4.0,121.4900,23.5800,6.50,0.0
2016-05-03 04:53:37,4.2,121.7200,24.2100,11.60,0.0
2016-05-02 22:29:00,4.6,121.7100,24.2900,7.00,0.0
2016-05-01 13:25:48,4.0,121.8700,24.2400,10.00,0.0
2016-04-28 09:14:46,4.2,121.8500,24.3100,7.90,0.0
2016-04-28 02:19:05,5.2,121.3000,23.2600,8.30,0.0
2016-04-27 23:27:38,4.9,121.8300,24.2600,6.90,0.0
2016-04-27 23:17:10,5.6,121.7100,24.2200,7.50,0.0
2016-04-16 18:55:45,4.4,121.9300,22.5300,8.30,0.0
2016-04-12 11:08:01,4.2,121.6400,24.0200,9.40,0.0
2016-04-11 13:45:08,4.5,122.0400,24.6800,50.00,14.0
2016-03-28 16:07:58,3.8,121.1600,22.8400,10.00,0.0
2016-03-06 02:11:05,3.2,121.6700,24.7600,15.00,0.5
2016-02-27 10:59:52,4.4,120.9800,22.3300,10.00,0.0
2016-02-23 16:26:26,3.8,122.3300,24.0900,8.00,0.0
2016-02-18 09:18:34,4.6,120.9200,22.9900,13.00,0.5
2016-02-18 09:09:40,5.0,120.8800,23.0400,10.00,0.5
2016-02-16 12:04:57,4.5,120.8500,23.0900,13.00,7.0
2016-02-16 10:46:00,4.2,120.9600,22.9600,13.00,0.0
2016-02-09 08:47:00,5.3,121.7700,23.9200,6.00,0.0
2016-02-06 03:57:26,6.7,120.5400,22.9400,15.00,0.0
2016-01-19 10:13:26,5.4,121.4200,22.8300,27.00,2.0
2016-01-14 01:22:36,4.3,121.9000,24.1300,7.00,0.5
2016-01-14 01:11:46,4.1,121.9300,24.1400,8.00,0.5
2016-01-11 12:52:54,4.5,121.6300,23.4100,11.00,2.5
2016-01-03 22:01:28,3.7,122.0300,24.6400,52.00,14.5
2015-12-26 12:05:22,4.0,121.7600,24.2200,7.00,1.5
2015-12-25 05:20:21,4.2,121.0200,24.0800,6.00,2.0
2015-12-06 12:42:49,3.8,121.8800,24.2000,6.00,0.5
2015-12-03 22:31:13,4.6,121.3800,22.6800,8.00,1.5
2015-12-02 13:52:59,4.1,121.9200,24.2200,7.00,0.0
2015-12-02 13:21:56,4.4,121.8900,24.2300,8.00,0.0
2015-11-05 17:06:26,3.9,121.7700,24.0700,9.00,0.0
2015-11-03 08:06:30,4.7,121.9700,24.9600,7.00,0.0
2015-11-02 05:09:41,5.6,121.6500,22.8000,10.00,1.5
2015-10-19 15:20:11,4.8,122.4300,24.7500,8.00,4.0
2015-10-19 13:42:14,4.5,121.7900,24.9700,7.00,7.0
2015-10-19 10:17:36,5.3,122.0100,24.9400,7.00,0.0
2015-10-16 07:52:45,4.1,121.7900,24.2900,16.00,0.0
2015-10-13 19:49:03,4.6,121.5900,23.5900,8.00,0.5
2015-10-12 19:14:47,4.6,121.4500,22.4700,8.00,0.0
2015-10-08 05:50:12,3.8,121.8400,24.2500,7.00,0.0
2015-09-30 03:37:44,3.8,121.6100,23.9800,14.00,0.0
2015-09-16 22:29:57,4.4,121.8600,24.3100,9.00,0.0
2015-09-16 21:30:25,4.0,121.8700,24.2800,16.00,0.0
2015-09-16 21:08:57,5.4,121.9200,24.3200,7.00,0.0
2015-09-16 03:37:34,5.7,121.8600,24.3300,7.00,0.0
2015-09-16 01:56:22,4.3,121.8200,24.2900,8.00,0.0
2015-09-10 23:23:25,4.4,121.9000,24.2600,9.00,0.0
2015-09-02 11:03:35,4.1,122.0000,24.9400,8.00,0.0
2015-09-02 10:18:14,4.4,121.9300,24.9500,8.00,0.0
2015-09-02 01:34:08,4.5,122.2500,24.1500,8.00,0.0
2015-09-01 21:24:45,5.0,121.4900,24.0000,6.00,0.0
2015-08-13 22:08:00,5.2,122.4100,24.1000,7.00,0.0
2015-07-28 14:59:11,4.5,121.4200,24.4500,8.00,0.0
2015-06-21 14:15:31,4.2,122.3700,24.0500,20.00,0.0
2015-06-16 23:16:07,3.8,121.6900,23.6000,6.00,0.0
2015-05-28 15:57:43,4.0,122.3400,24.0600,8.00,0.0
2015-05-26 08:56:55,4.2,122.4100,24.0300,9.00,0.0
2015-05-26 05:22:50,4.3,120.9300,22.9600,10.00,0.0
2015-05-15 02:35:48,4.1,120.5300,24.4800,6.00,0.0
2015-05-12 07:43:15,4.3,121.4700,23.9600,8.00,0.0
2015-05-11 16:53:57,4.1,120.4400,24.5200,10.00,0.0
2015-05-11 16:38:20,5.0,120.5600,24.5200,10.00,0.0
2015-05-03 21:09:07,4.4,122.3600,24.0700,7.00,0.0
2015-05-01 20:54:43,3.6,120.5800,24.4500,6.00,0.0
2015-04-20 19:20:45,4.9,121.5900,23.7400,30.00,0.0
2015-04-16 03:48:37,4.0,121.2800,22.8400,7.00,0.0
2015-04-14 01:13:57,4.2,121.0600,23.9800,9.00,0.0
2015-03-28 03:09:39,3.7,121.4800,22.3500,9.00,0.0
2015-03-23 18:13:51,5.7,121.6900,23.8400,20.00,16.0
2015-02-27 00:50:02,4.0,122.2200,24.6900,65.00,1.0
2015-02-14 04:06:28,6.2,121.5400,22.6100,7.00,1.0
2015-02-12 15:35:33,3.8,121.7100,24.3100,10.00,0.0
2015-02-04 16:14:43,3.2,121.7000,24.5700,6.00,0.0
2015-01-24 15:15:26,4.2,120.4300,23.2100,9.00,0.0
2015-01-21 04:44:20,4.0,122.0700,24.1600,7.00,0.0
2015-01-19 11:48:29,3.9,121.6700,22.8300,65.00,0.0
2015-01-17 03:12:15,4.4,121.8500,24.4800,6.00,0.0
2015-01-07 12:48:31,5.2,121.7000,24.3400,10.00,0.0
2015-01-05 13:53:43,3.8,121.9900,24.6900,40.00,0.0
2015-01-02 01:10:46,3.8,121.6100,23.9000,15.00,0.0
2014-12-31 11:06:03,3.8,121.7200,24.9000,41.00,0.0
2014-12-21 04:29:27,3.1,122.2300,24.0100,8.00,0.0
2014-12-03 06:01:25,3.6,122.0200,23.8700,66.00,0.0
2014-11-20 01:55:29,4.2,121.9600,24.9600,10.00,0.0
2014-10-26 12:47:01,4.0,122.2500,24.7300,52.00,9.5
2014-10-08 02:08:09,4.7,121.5500,23.7300,8.00,0.0
2014-09-25 18:35:01,5.0,121.3600,22.7700,7.00,2.0
2014-09-21 05:14:03,4.0,121.5400,23.7000,8.00,106.5
2014-09-10 13:12:28,4.0,122.1000,24.3300,5.00,0.0
2014-09-07 07:33:11,4.3,122.4000,24.2000,5.00,0.0
2014-08-06 11:46:12,4.5,121.5000,22.2000,60.00,0.0
2014-07-17 14:11:52,4.7,121.3900,22.2600,8.00,0.0
2014-06-21 10:21:07,3.7,121.6600,23.4900,13.00,0.0
2014-06-15 06:22:46,4.5,121.4600,23.8100,14.00,7.5
2014-05-25 20:41:12,4.7,121.2000,23.0300,5.00,0.0
2014-05-21 08:21:14,5.7,121.5000,23.7000,20.00,3.0
2014-05-04 20:43:34,4.5,121.7000,23.9500,22.00,0.0
2014-04-26 00:33:05,3.9,121.3500,23.6100,7.00,11.0
2014-03-19 20:19:24,5.6,122.3500,24.0600,8.00,0.0
2014-03-17 21:12:55,4.9,122.4300,24.0900,8.00,0.0
2014-03-16 04:04:36,4.7,121.3600,22.2600,9.00,0.0
2014-02-22 04:25:15,4.3,121.5800,24.7700,63.00,0.0
2014-02-08 00:24:46,4.0,122.4000,24.0000,8.00,0.0
2014-01-29 10:14:51,4.1,121.3800,23.2100,9.00,0.0
2014-01-25 11:16:11,4.0,121.5500,23.9000,7.00,0.0
2014-01-15 03:50:04,4.5,121.1600,22.8700,7.00,0.0
2014-01-15 02:38:12,4.6,121.1500,22.8300,9.00,0.0
2014-01-15 00:44:26,4.4,120.9900,23.9100,7.00,0.0
2013-12-25 04:29:15,3.5,121.0800,22.7800,45.00,0.5
2013-11-16 03:39:19,4.4,122.4200,24.0100,28.00,0.0
2013-11-07 15:31:43,4.1,121.6200,24.1100,20.00,0.0
2013-11-07 15:25:11,4.3,121.6500,24.1300,6.00,0.0
2013-11-04 06:56:13,4.0,121.4900,23.9700,12.00,0.0
2013-11-03 11:43:15,4.1,121.4800,23.6600,8.00,2.0
2013-11-01 07:52:25,4.2,121.4000,23.7400,10.00,18.5
2013-11-01 00:05:20,4.0,121.3400,23.5600,9.00,22.0
2013-10-31 23:47:28,4.7,121.4800,23.6900,6.00,8.5
2013-10-31 21:57:12,4.0,121.4000,23.6200,10.00,3.0
2013-10-31 21:45:21,4.1,121.3600,23.5900,10.00,2.5
2013-10-31 20:02:10,6.7,121.4000,23.5000,20.00,0.0
2013-09-30 20:05:19,4.0,120.9700,23.9000,10.00,0.0
2013-08-18 22:57:02,4.0,122.3800,24.0200,8.00,0.0
2013-07-24 23:41:13,4.0,121.5000,23.9400,7.00,0.0
2013-07-24 23:32:14,4.6,121.5600,23.9600,7.00,0.0
2013-07-24 22:47:05,4.5,121.5700,23.9300,6.00,0.0
2013-07-16 18:11:35,5.0,121.5000,24.2000,8.00,0.0
2013-06-29 07:51:52,5.6,122.3000,24.0000,8.00,0.0
2013-06-26 18:19:16,4.0,121.8700,24.8700,7.00,0.0
2013-06-02 13:43:03,6.7,120.9000,23.9000,9.00,0.0
2013-06-02 04:32:23,3.9,121.1300,22.1900,6.00,0.0
2013-05-30 11:14:40,3.7,121.6700,23.9600,40.00,0.2
2013-05-29 09:33:58,4.1,122.3000,24.0300,8.00,0.0
2013-05-21 12:25:45,4.6,121.8400,24.2900,7.00,0.0
2013-04-21 11:07:50,3.5,122.4300,24.3800,70.00,0.0
2013-03-27 10:03:19,6.5,121.0000,24.0000,8.00,0.0
2013-03-20 15:22:01,4.0,122.0000,24.5000,11.00,7.0
2013-03-12 17:03:45,3.7,121.7000,24.4000,43.00,0.0
2013-03-07 16:07:22,4.0,121.3000,24.2000,7.00,0.0
2013-03-07 11:36:47,5.7,121.5000,24.3000,6.00,0.0
2013-03-06 19:49:44,4.0,122.1000,24.5000,18.00,1.5
2013-02-22 02:35:58,4.3,121.5000,24.3000,10.00,0.0
2013-02-17 09:32:09,4.2,121.4000,24.2000,7.00,0.5
2013-02-02 11:39:51,4.8,122.0000,23.8000,8.00,45.5
2013-01-17 16:30:42,4.7,122.1000,24.5000,9.00,44.0
2013-01-04 11:29:57,4.4,122.3000,24.1000,7.00,0.0
2013-01-04 02:08:04,4.3,121.9000,23.9000,8.00,0.0
2013-01-03 22:00:15,4.2,121.8000,23.9000,7.00,2.0
2013-01-02 20:01:47,4.6,121.8000,23.9000,8.00,0.0
2012-12-31 00:03:25,4.8,120.9000,23.5000,10.00,0.0
2012-12-26 10:06:37,4.0,122.4100,24.0000,65.00,0.0
2012-12-23 14:13:06,4.1,121.3600,24.2200,8.00,6.0
2012-12-11 18:32:04,4.0,121.5500,24.1200,7.00,0.0
2012-12-03 03:43:30,4.4,121.6300,23.9700,8.00,0.5
2012-12-03 01:45:37,4.8,121.5800,23.9800,8.00,0.5
2012-11-22 06:25:26,4.4,122.2600,24.0400,10.00,0.0
2012-11-21 01:09:00,4.8,121.3700,22.4800,9.00,11.0
2012-11-05 21:40:29,4.2,121.5100,23.8500,10.00,0.0
2012-10-25 18:31:17,4.4,120.3400,22.5200,6.00,0.0
